Data Variable,COUNTRY,ADM0_EN,ADM1_PCODE,ADM1_NAME,ISO3,ISO2,Latitude,Longitude,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN10,Marsabit,KEN,KE,2.978658787,37.5695361,0.021972926,0.022341937,0.022677402,0.023012866,0.02458955,0.026132686,0.02770937,0.029252506,0.03082919,0.036565633,0.04226853,0.048306891,0.054009788,0.059712685,0.065751047,0.074473124,0.083195202,0.091917279,0.100639357,0.109361435,0.118083512,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN11,Isiolo,KEN,KE,1.010443074,38.54215312,0.037710357,0.038343661,0.038919391,0.039495122,0.042201056,0.044849417,0.047555351,0.050203712,0.052909646,0.06275464,0.072542061,0.082905212,0.092692633,0.102480054,0.112843206,0.127812202,0.142781199,0.157750196,0.172719192,0.187688189,0.202657186,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN12,Meru,KEN,KE,0.166779238,37.76403705,1.472901097,1.49763684,1.52012388,1.54261092,1.648300006,1.751740388,1.857429475,1.960869857,2.066558943,2.451087321,2.833366995,3.238133709,3.620413383,4.002693057,4.40745977,4.992122801,5.576785832,6.161448862,6.746111893,7.330774924,7.915437955,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN13,Tharaka-Nithi,KEN,KE,-0.207061222,37.87029729,1.047333282,1.064922085,1.080911906,1.096901727,1.172053886,1.245607063,1.320759223,1.3943124,1.469464559,1.742890499,2.014717458,2.302534238,2.574361196,2.846188155,3.134004935,3.549740283,3.965475632,4.38121098,4.796946329,5.212681677,5.628417026,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN14,Embu,KEN,KE,-0.603974376,37.62650132,1.460205977,1.48472852,1.507021741,1.529314962,1.634093101,1.736641918,1.841420056,1.943968873,2.048747012,2.429961091,2.808945849,3.210223827,3.589208584,3.968193342,4.36947132,4.949095067,5.528718813,6.10834256,6.687966306,7.267590053,7.847213799,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN15,Kitui,KEN,KE,-1.491038536,38.40692102,0.247624216,0.251782791,0.255563313,0.259343836,0.277112291,0.294502694,0.312271149,0.329661552,0.347430007,0.41207694,0.476345821,0.544395223,0.608664104,0.672932985,0.740982388,0.83927597,0.937569552,1.035863134,1.134156716,1.232450298,1.33074388,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN16,Machakos,KEN,KE,-1.279512309,37.41267603,1.383086068,1.406313467,1.427429285,1.448545103,1.547789447,1.644922209,1.744166553,1.841299315,1.940543659,2.301624143,2.660593047,3.040677767,3.399646671,3.758615574,4.138700295,4.687711558,5.236722822,5.785734085,6.334745349,6.883756612,7.432767876,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN17,Makueni,KEN,KE,-2.1576841,37.78824557,0.879166077,0.893930699,0.907353081,0.920775464,0.983860664,1.045603625,1.108688824,1.170431785,1.233516985,1.463039732,1.69122024,1.932823132,2.161003641,2.389184149,2.630787041,2.979768995,3.32875095,3.677732904,4.026714858,4.375696813,4.724678767,37.8,40.4
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN18,Nyandarua,KEN,KE,-0.322077813,36.48286916,1.41228835,1.567059676,1.712157794,1.86692912,1.924968367,1.983007615,2.041046862,2.099086109,2.157125356,2.602092919,3.037387273,3.482354835,3.927322398,4.37228996,4.817257522,5.184839422,5.562094529,5.939349636,6.306931535,6.684186642,7.06144175,76.8,80.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN19,Nyeri,KEN,KE,-0.342923597,36.95647813,1.943623002,2.156622783,2.356310078,2.569309859,2.649184777,2.729059695,2.808934613,2.888809531,2.968684449,3.581058819,4.180120704,4.792495074,5.404869445,6.017243816,6.629618186,7.135492666,7.654679633,8.173866599,8.679741079,9.198928045,9.718115012,76.8,80.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN20,Kirinyaga,KEN,KE,-0.52474629,37.31986811,3.030745268,3.362881736,3.674259674,4.006396142,4.130947317,4.255498493,4.380049668,4.504600844,4.629152019,5.584044364,6.518178179,7.473070524,8.427962869,9.382855213,10.33774756,11.12657167,11.93615431,12.74573695,13.53456106,14.3441437,15.15372634,76.8,80.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN21,Murang'a,KEN,KE,-0.809590538,37.03272252,3.484388177,3.866238936,4.224224023,4.606074782,4.749268817,4.892462852,5.035656886,5.178850921,5.322044956,6.419865888,7.493821148,8.591642081,9.689463014,10.78728395,11.88510488,12.79200043,13.72276166,14.65352288,15.56041844,16.49117966,17.42194089,76.8,80.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN22,Kiambu,KEN,KE,-1.068706066,36.82356426,4.728955202,5.247196868,5.73304843,6.251290096,6.445630721,6.639971346,6.834311971,7.028652595,7.22299322,8.71293801,10.1704927,11.66043749,13.15038228,14.64032706,16.13027185,17.36109581,18.62430987,19.88752393,21.11834789,22.38156195,23.64477601,76.8,80.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN23,Turkana,KEN,KE,3.424849191,35.43575846,0.042908404,0.044154706,0.045401008,0.046736332,0.056083598,0.065430865,0.074778131,0.084125397,0.093472664,0.099704175,0.106380793,0.113057412,0.119734031,0.12641065,0.133087269,0.145995398,0.158903528,0.171811658,0.184719788,0.197627917,0.210536047,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN24,West Pokot,KEN,KE,1.740106171,35.24384681,0.210433318,0.216545489,0.22265766,0.229206415,0.275047698,0.320888981,0.366730264,0.412571547,0.45841283,0.488973685,0.521717459,0.554461232,0.587205006,0.61994878,0.652692553,0.715997182,0.779301811,0.84260644,0.905911069,0.969215698,1.032520327,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN25,Samburu,KEN,KE,1.316854625,37.11839407,0.042749466,0.043991151,0.045232837,0.046563215,0.055875857,0.0651885,0.074501143,0.083813786,0.093126429,0.099334858,0.105986746,0.112638633,0.119290521,0.125942409,0.132594297,0.145454613,0.15831493,0.171175246,0.184035562,0.196895879,0.209756195,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN26,Trans Nzoia,KEN,KE,1.050954809,34.95741997,1.464304709,1.506836381,1.549368053,1.594937702,1.913925242,2.232912782,2.551900322,2.870887863,3.189875403,3.402533763,3.630382006,3.858230249,4.086078493,4.313926736,4.541774979,4.982281582,5.422788185,5.863294789,6.303801392,6.744307995,7.184814598,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN27,Uasin Gishu,KEN,KE,0.526085894,35.32201166,1.183515934,1.217891916,1.252267897,1.289099306,1.546919167,1.804739028,2.06255889,2.320378751,2.578198612,2.750078519,2.934235563,3.118392607,3.302549651,3.486706694,3.670863738,4.026900689,4.38293764,4.738974592,5.095011543,5.451048494,5.807085445,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN28,Elgeyo-Marakwet,KEN,KE,0.802218808,35.53656314,0.591117268,0.608286649,0.62545603,0.643851796,0.772622155,0.901392514,1.030162873,1.158933232,1.287703591,1.373550498,1.465529326,1.557508153,1.649486981,1.741465809,1.833444637,2.011270371,2.189096105,2.36692184,2.544747574,2.722573308,2.900399042,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN29,Nandi,KEN,KE,0.186688886,35.11048767,1.286642161,1.32401351,1.361384859,1.40142559,1.681710708,1.961995826,2.242280944,2.522566062,2.80285118,2.989707926,3.189911581,3.390115237,3.590318893,3.790522548,3.990726204,4.377786605,4.764847006,5.151907407,5.538967808,5.92602821,6.313088611,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN30,Baringo,KEN,KE,0.669251972,35.94646535,0.233731309,0.240520185,0.247309061,0.254582857,0.305499429,0.356416,0.407332571,0.458249143,0.509165714,0.543110095,0.579479075,0.615848054,0.652217034,0.688586014,0.724954993,0.795268354,0.865581714,0.935895075,1.006208435,1.076521796,1.146835156,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN31,Laikipia,KEN,KE,0.323604125,36.77172785,0.220654308,0.227063354,0.2334724,0.240339236,0.288407083,0.33647493,0.384542777,0.432610624,0.480678472,0.512723703,0.547057879,0.581392056,0.615726233,0.650060409,0.684394586,0.750773994,0.817153402,0.88353281,0.949912218,1.016291626,1.082671033,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN32,Nakuru,KEN,KE,-0.463675445,36.0784791,1.068827106,1.099871877,1.130916648,1.164178902,1.397014682,1.629850463,1.862686243,2.095522024,2.328357804,2.483581658,2.649892929,2.816204201,2.982515473,3.148826744,3.315138016,3.636673141,3.958208267,4.279743392,4.601278517,4.922813643,5.244348768,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN33,Narok,KEN,KE,-1.254790342,35.57632921,0.187403535,0.192846791,0.198290048,0.204122108,0.244946529,0.285770951,0.326595373,0.367419794,0.408244216,0.435460497,0.464620798,0.493781099,0.5229414,0.552101701,0.581262002,0.637638585,0.694015167,0.750391749,0.806768331,0.863144913,0.919521495,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN34,Kajiado,KEN,KE,-2.121383592,36.9088422,0.118753014,0.122202272,0.12565153,0.129347163,0.155216596,0.181086028,0.206955461,0.232824894,0.258694326,0.275940615,0.294418781,0.312896947,0.331375113,0.349853279,0.368331445,0.4040559,0.439780355,0.475504809,0.511229264,0.546953718,0.582678173,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN35,Kericho,KEN,KE,-0.295732909,35.31407002,1.481059568,1.524077896,1.567096224,1.613187289,1.935824747,2.258462205,2.581099662,2.90373712,3.226374578,3.441466217,3.671921544,3.902376871,4.132832198,4.363287525,4.593742852,5.039289817,5.484836783,5.930383748,6.375930714,6.821477679,7.267024645,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN36,Bomet,KEN,KE,-0.726294587,35.29859759,1.5078999,1.551697823,1.595495745,1.64242209,1.970906509,2.299390927,2.627875345,2.956359763,3.284844181,3.503833793,3.73846552,3.973097247,4.207728975,4.442360702,4.676992429,5.130613768,5.584235107,6.037856447,6.491477786,6.945099125,7.398720465,50.2,53.1
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN37,Kakamega,KEN,KE,0.403683465,34.74451115,1.071717375,0.830141737,0.590762242,0.349186604,0.491935844,0.634685085,0.779630467,0.922379708,1.065128948,1.275958596,1.486788244,1.697617891,1.906251396,2.117081044,2.327910692,2.98675334,3.645595989,4.304438637,4.963281286,5.622123934,6.280966583,31.6,34.6
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN38,Vihiga,KEN,KE,0.076265791,34.72232303,2.176457526,1.685862592,1.199727612,0.709132678,0.999029684,1.288926691,1.583283651,1.873180658,2.163077664,2.591233243,3.019388822,3.447544401,3.871240026,4.299395605,4.727551183,6.065537367,7.403523551,8.741509735,10.07949592,11.4174821,12.75546829,31.6,34.6
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN39,Bungoma,KEN,KE,0.749285236,34.64046087,0.832953253,0.645197396,0.459148412,0.271392556,0.382339198,0.49328584,0.605939354,0.716885996,0.827832638,0.991692295,1.155551951,1.319411607,1.481564392,1.645424048,1.809283704,2.32134513,2.833406556,3.345467982,3.857529407,4.369590833,4.881652259,31.6,34.6
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN40,Busia,KEN,KE,0.387443669,34.19363148,0.798871847,0.618798275,0.440361735,0.260288163,0.366695274,0.473102385,0.581146528,0.687553638,0.793960749,0.951115866,1.108270984,1.265426101,1.420944186,1.578099303,1.735254421,2.226364162,2.717473904,3.208583646,3.699693388,4.190803129,4.681912871,31.6,34.6
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN41,Siaya,KEN,KE,-0.062129907,34.24764171,0.715536928,0.670958749,0.6275236,0.582945421,0.77383147,0.96471752,1.154460539,1.348775679,1.54309082,1.668824146,1.805987774,1.943151402,2.068884728,2.206048357,2.343211985,2.617539242,2.880436196,3.154763453,3.42909071,3.703417967,3.966314921,37.1,39.5
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN42,Kisumu,KEN,KE,-0.169458701,34.83520347,0.996330104,0.93425842,0.873778318,0.811706634,1.077500767,1.3432949,1.607497452,1.87806633,2.148635208,2.323709188,2.514698984,2.705688781,2.880762761,3.071752557,3.262742353,3.644721946,4.010785722,4.392765314,4.774744907,5.1567245,5.522788276,37.1,39.5
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN43,Homa Bay,KEN,KE,-0.542809397,34.35899688,0.596563758,0.559397645,0.523184509,0.486018397,0.645165597,0.804312798,0.962507021,1.124513153,1.286519285,1.391346783,1.505704053,1.620061322,1.72488882,1.839246089,1.953603359,2.182317899,2.401502666,2.630217206,2.858931745,3.087646285,3.306831052,37.1,39.5
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN44,Migori,KEN,KE,-0.989536844,34.36334529,0.683135336,0.640575786,0.599107507,0.556547957,0.738790132,0.921032306,1.10218321,1.287699195,1.473215181,1.593254937,1.724207397,1.855159858,1.975199613,2.106152074,2.237104534,2.499009455,2.750001671,3.011906593,3.273811514,3.535716435,3.786708651,37.1,39.5
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN45,Kisii,KEN,KE,-0.77460376,34.77472298,1.839058187,1.724484274,1.612848154,1.498274242,1.988885611,2.47949698,2.967170557,3.466595304,3.966020052,4.289177241,4.641712357,4.994247472,5.317404662,5.669939777,6.022474893,6.727545124,7.40323743,8.108307661,8.813377892,9.518448124,10.19414043,37.1,39.5
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN46,Nyamira,KEN,KE,-0.642732411,34.96465956,1.429375688,1.340325126,1.253557911,1.164507349,1.545826423,1.927145496,2.306181221,2.694350338,3.082519454,3.333687706,3.607689435,3.881691165,4.132859416,4.406861146,4.680862875,5.228866334,5.754036315,6.302039773,6.850043232,7.39804669,7.923216671,37.1,39.5
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA02,Arusha,TZA,TZ,-2.95874911,35.94058334,2.872865463,3.836187414,4.805209495,5.757131186,6.726153267,6.726153267,6.726153267,6.726153267,6.669151968,6.669151968,6.669151968,7.752176647,8.835201325,9.918226004,11.00125068,12.02727406,13.11029874,14.19332342,15.2763481,,,,
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA11,Iringa,TZA,TZ,-7.801274704,35.47521021,4.350291013,3.678741236,2.981849957,2.289182261,1.596514566,2.411666183,3.222594217,4.037745834,4.857121034,5.659601901,6.462082767,7.222327799,7.98257283,8.742817862,9.503062893,10.26330792,11.02355296,11.78379799,12.54404302,,,,
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA12,Mbeya,TZA,TZ,-8.158567881,33.75686332,2.942112799,2.92615197,2.910191141,2.894230313,2.878269484,3.591186509,4.298783258,5.011700284,5.745898415,6.437534335,7.129170255,7.55479236,7.927211702,8.299631043,8.725253148,9.09767249,9.470091831,9.895713936,10.26813328,,,,
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA15,Rukwa,TZA,TZ,-7.947910359,31.30241929,2.203509087,2.251066838,2.298624588,2.346182338,2.393740088,2.679086588,2.972359381,3.257705881,3.543052382,3.836325174,4.121671674,4.676512092,5.23135251,5.786192927,6.341033345,6.895873763,7.450714181,8.005554598,8.560395016,,,,
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA17,Shinyanga,TZA,TZ,-3.751945121,32.93608405,0.171664957,0.337410433,0.509075391,0.674820867,0.846485824,1.929750899,3.013015975,4.102200531,5.185465607,6.274650164,7.340156795,7.340156795,7.340156795,7.280961982,7.280961982,7.280961982,7.221767169,7.221767169,7.221767169,,,,
GDL-%-households-with-electricity-data,United Republic of Tanzania,United Republic of Tanzania,TZA19,Mwanza,TZA,TZ,-2.767294011,33.00514408,4.412552027,4.631718518,4.858190559,5.077357051,5.303829092,5.888273069,6.472717046,7.057161023,7.670827199,8.255271176,8.839715153,9.351103633,9.862492113,10.37388059,10.88526907,11.39665755,11.90804603,12.41943451,12.93082299,,,,
